model,label,positive_count,prevalence,auc,average_precision
EfficientNet-B0,any,701,0.1402,0.9164457514088636,0.7097307273631884
EfficientNet-B0,epidural,17,0.0034,0.7495838793072918,0.07439583757094773
EfficientNet-B0,intraparenchymal,254,0.0508,0.9112597097929129,0.6316264832970391
EfficientNet-B0,intraventricular,160,0.032,0.943907541322314,0.6490518753201949
EfficientNet-B0,subarachnoid,234,0.0468,0.8392414574747766,0.2825764790374323
EfficientNet-B0,subdural,301,0.0602,0.874984357313601,0.4507626686946126
DenseNet121,any,701,0.1402,0.9364761204128352,0.7815546469517965
DenseNet121,epidural,17,0.0034,0.8842653256365761,0.08945393850787398
DenseNet121,intraparenchymal,254,0.0508,0.9652886309565287,0.7745108867281927
DenseNet121,intraventricular,160,0.032,0.983363894628099,0.7731684020365112
DenseNet121,subarachnoid,234,0.0468,0.9270285246995276,0.4982941380407241
DenseNet121,subdural,301,0.0602,0.8950692131428261,0.47988200794451985
ConvNeXt-Tiny,any,701,0.1402,0.9457890714723491,0.816036290036051
ConvNeXt-Tiny,epidural,17,0.0034,0.9388391118036619,0.05621369387791479
ConvNeXt-Tiny,intraparenchymal,254,0.0508,0.9709369846468306,0.7706242500098085
ConvNeXt-Tiny,intraventricular,160,0.032,0.9902440599173553,0.8472037810664331
ConvNeXt-Tiny,subarachnoid,234,0.0468,0.9267397986449603,0.4985313261281923
ConvNeXt-Tiny,subdural,301,0.0602,0.9146188593176324,0.5976482954065957
